證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,本益比,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
9907,統一實       ,199712,21687,12.59,15.5432,0.8647,1.0882,0.016445,0.04869,0.18996,0.066442,1.9609,94.4,42.36,1.74,4.33,259.58,-22.44,-25.0199,-1
2338,光罩         ,199712,21638,33.21,6.8474,1.498,2.7884,0.15268,0.21297,0.34751,0.39622,0.39484,298.01,249.35,11.2,3.71,47.69,49.87,-51.6712,-1
2350,環電         ,199712,21624,26.15,7.1841,1.5046,0.57409,0.10238,0.20787,0.079547,0.07932,1.0304,145.11,106.73,6.29,7.36,14.51,63.3,-4.7036,1
2101,南港         ,199712,20343,40.66,58.0857,1.8583,1.8423,0.010394,0.032175,0.057663,0.031898,2.0956,66.81,58.67,8.34,5.98,58.44,-68.71,-12.8136,1
2526,大陸         ,199712,20085,18.02,16.6852,1.0274,1.0995,0.026108,0.054115,0.01457,0.057918,1.0727,159.68,37.6,0.95,3.56,587.68,676.01,-42.3973,-1
2315,神達         ,199712,19908,12.3,10.9821,0.82828,0.099474,0.021485,0.064856,0.0083301,0.0090254,2.0187,124.63,64.73,7.98,10.4,34.66,195.57,41.4634,1
1503,士電         ,199712,19893,29.09,17.6303,1.4197,1.1787,0.046337,0.080608,0.0806,0.066921,0.7396,143.68,87.02,4.89,4.36,11.3,-6.73,-12.1348,1
2301,光寶科       ,199712,19827,16.2,4.924,0.77772,0.29226,0.052654,0.1578,-0.0054123,0.0593,1.9969,226.56,163.2,5.95,3.31,-108.79,38.86,-53.2099,-1
2608,大榮         ,199712,19730,33.07,21.0637,2.3094,4.0379,0.087071,0.10975,0.14767,0.19193,0.2605,317.79,312.87,0,6.86,-1.6,-50.62,-38.3127,-1
9801,力霸         ,199712,19551,49.24,98.48,4.2743,5.6728,0.021534,0.043148,0.037621,0.057252,1.0037,147.67,76.1,1.65,4.88,24.3,3.33,-29.0617,-1
1409,新纖         ,199712,19378,13.74,45.8,1.1054,1.1794,0.014203,0.023677,-0.03335,0.025361,0.66703,143.42,56.29,7.46,13.77,1.53,20.06,-23.9447,-1
1907,永豐餘       ,199712,19049,8.5,29.3103,0.64492,0.53292,0.010812,0.022234,0.041193,0.018374,1.0563,133,88.87,5.2,3.48,518.05,-8.29,-27.8824,-1
2534,宏盛         ,199712,18716,18.82,7.2385,0.91805,1.9342,0.084384,0.11476,0.18684,0.24168,0.35998,482.9,43.56,0.31,17.18,6.56,33.67,-10.8395,1
